Day,Start Time,End Time,Program,Course code,Course title,Class nbr,Section,Room,Instructor,Actual Class Duration
Th,15:30,16:45,ECE,EE 432,Power Electronics,1151,L1,SFCL,Ishtiyaq Makda,75
F,10:30,13:20,ECE,EE 432L,Power Electronics (Lab),1152,T1,LG-C001,Haleema Qamar,170
T,11:30,12:45,ECE,EE 452,Computer Vision,1153,L1,E-012,Muhammad Farhan,75
Th,11:30,12:45,ECE,EE 452,Computer Vision,1153,L1,E-012,Muhammad Farhan,75
F,8:30,9:20,ECE,EE/CE 252/251,Signals and Systems,1156,L1,FF-E220,Shafayat Abrar,50
M,8:30,9:20,ECE,EE/CE 252/251,Signals and Systems,1156,L1,FF-E220,Shafayat Abrar,50
W,8:30,9:20,ECE,EE/CE 252/251,Signals and Systems,1156,L1,FF-E220,Shafayat Abrar,50
W,17:15,18:30,ECE,EE/CE 252/251,Signals and Systems,1157,L2,W-234,Adnan Aslam Chaudhry,75
F,17:15,18:30,ECE,EE/CE 252/251,Signals and Systems,1157,L2,W-234,Adnan Aslam Chaudhry,75
M,14:30,17:20,ECE,EE/CE 252L/251L,Signals and Systems Lab,1154,T1,W-110,Shafayat Abrar,170
Th,15:30,18:20,ECE,EE/CE 252L/251L,Signals and Systems Lab,1155,T2,W-110,Shafayat Abrar,170
M,8:30,10:10,ECE,EE/CE 301,Electrical Engineering Junior,1158,S1,E-003,Saad Baig,100
M,11:30,12:45,ECE,EE/CE 354/361,Intro to Probability & Stats,1294,L2,FF-E220,Muhammad Umer Tariq,75
W,11:30,12:45,ECE,EE/CE 354/361,Intro to Probability & Stats,1294,L2,FF-E220,Muhammad Umer Tariq,75
F,11:30,13:10,ECE,EE/CE 354/361,Intro to Probability & Stats,1295,L3,FF-E220,Muhammad Umer Tariq,100
M,14:30,15:20,ECE,EE/CE 354/361,Intro to Probability & Stats,1295,L3,FF-E220,Muhammad Umer Tariq,50
Th,11:30,12:20,ECE,EE/CE 354/361,Intro to Probability & Stats,1290,R1,FF-N220,Zareen Tabassum,50
F,17:30,18:20,ECE,EE/CE 354/361,Intro to Probability & Stats,1291,R2,GF-C109,Zareen Tabassum,50
F,14:30,15:20,ECE,EE/CE 354/361,Intro to Probability & Stats,1292,R3,W-234,Zareen Tabassum,50
M,10:30,13:20,ECE,EE/CE 366L,Introduction to Robotics Lab,1167,T1,LG26,Abdul Basit Memon,170
F,14:30,17:00,ECE,EE/CE 391L,"Engineering, Design, & Innov.",1168,D1,PG-1,Munzir Zafar,150
W,14:30,17:00,ECE,EE/CE 391L,"Engineering, Design, & Innov.",1168,D1,PG-1,Munzir Zafar,150
F,14:30,17:00,ECE,EE/CE 391L,"Engineering, Design, & Innov.",1169,D2,PG-1,Muhammad Umer Tariq,150
W,14:30,17:00,ECE,EE/CE 391L,"Engineering, Design, & Innov.",1169,D2,PG-1,Muhammad Umer Tariq,150
T,11:30,12:45,ECE,EE/CE 453/352,Digital Signal Processing,1170,L1,C-015,Saad Baig,75
Th,11:30,12:45,ECE,EE/CE 453/352,Digital Signal Processing,1170,L1,C-015,Saad Baig,75
W,11:30,14:20,ECE,EE/CE 453L/352L,Digital Signal Processing Lab,1171,T1,SFCL,Saad Baig,170
T,11:30,12:45,ECE,EE/CS 172/130,Digital Logic and Design,1185,L1,GF-E121,Areeba Rajput,75
Th,11:30,12:45,ECE,EE/CS 172/130,Digital Logic and Design,1185,L1,GF-E121,Areeba Rajput,75
T,15:30,16:45,ECE,EE/CS 172/130,Digital Logic and Design,1186,L2,W-234,Areeba Rajput,75
Th,15:30,16:45,ECE,EE/CS 172/130,Digital Logic and Design,1186,L2,W-234,Areeba Rajput,75
W,14:30,17:20,ECE,EE/CS 172L/130L,Digital Logic and Design Lab,1187,T1,W-111,Areeba Rajput,170
F,10:30,13:20,ECE,EE/CS 172L/130L,Digital Logic and Design Lab,1188,T2,W-111,Areeba Rajput,170
T,10:00,11:15,ECE,EE/CS 366/380,Introduction to Robotics,1189,L1,FF-N219,Abdul Basit Memon,75
Th,10:00,11:15,ECE,EE/CS 366/380,Introduction to Robotics,1189,L1,FF-N219,Abdul Basit Memon,75
F,10:30,11:20,ECE,EE/PHY 241,Electromagnetic Theory,1190,L1,FF-N219,Shafayat Abrar,50
M,10:30,11:20,ECE,EE/PHY 241,Electromagnetic Theory,1190,L1,FF-N219,Shafayat Abrar,50
W,10:30,11:20,ECE,EE/PHY 241,Electromagnetic Theory,1190,L1,FF-N219,Shafayat Abrar,50
T,11:30,12:45,ISCIM,ENER 104,Renewable Energy,1191,L1,E-010,Mohamed Elsayed Orabi Mustafa,75
Th,11:30,12:45,ISCIM,ENER 104,Renewable Energy,1191,L1,E-010,Mohamed Elsayed Orabi Mustafa,75
W,11:30,14:20,ECE,ENGR 291L,Engineering Workshop,1286,T1,LG-C025,Haseeb Shaikh,170
F,10:30,13:20,ECE,ENGR 291L,Engineering Workshop,1287,T2,LG-C025,Haseeb Shaikh,170
W,15:30,18:20,ECE,ENGR 291L,Engineering Workshop,1288,T3,LG-C025,Haseeb Shaikh,170
M,15:30,18:20,ECE,ENGR 291L,Engineering Workshop,1289,T4,LG-C025,Haseeb Shaikh,170
T,13:15,14:30,ISCIM,ENVS 301,Intro Enviro Engineering,1192,L1,C-015,Hassaan Furqan Khan,75
Th,13:15,14:30,ISCIM,ENVS 301,Intro Enviro Engineering,1192,L1,C-015,Hassaan Furqan Khan,75
M,12:00,13:00,GSCP,GSCP 399,GSCP Research S II,1172,S1,FF-W243,Mohammad Moeini Feizabadi,60
T,11:30,12:45,CH,HIST 123,Comparative Empires,1334,S1,FF-N220,Mariam Sabri,75
Th,11:30,12:45,CH,HIST 123,Comparative Empires,1334,S1,W-234,Mariam Sabri,75
F,14:30,15:20,CH,HIST 227,Understanding Histories,1310,L1,FF-N219,Abdullah Mirza,50
M,17:15,18:30,CH,HIST 227,Understanding Histories,1310,L1,FF-W243,Abdullah Mirza,75
Th,17:15,18:30,CH,HIST 227,Understanding Histories,1310,L1,FF-W243,Abdullah Mirza,75
F,15:30,16:45,CH,HIST/LIT 134,Intro to Punjabi Sufi Lit,1174,S1,E-100,Naila Pervaiz,75
Th,15:30,16:45,CH,HIST/LIT 134,Intro to Punjabi Sufi Lit,1174,S1,E-100,Naila Pervaiz,75
M,12:50,14:30,CH,HUM 201,Conceptual Genealogies,1176,L1,GF-C109,Marcelo Alves de Paula Lima,100
W,12:50,14:30,CH,HUM 201,Conceptual Genealogies,1176,L1,GF-C109,Marcelo Alves de Paula Lima,100
M,12:50,14:30,CH,HUM 401,Heidegger,1178,S1,FF-N220,Najeeb Jan,100
W,12:50,14:30,CH,HUM 401,Heidegger,1178,S1,FF-N220,Najeeb Jan,100
M,8:40,10:20,CH,HUM/HIST 200,World Historical Figures,1309,L1,FF-N219,Marcelo Alves de Paula Lima,100
W,9:50,11:30,CH,HUM/HIST 200,World Historical Figures,1309,L1,FF-N220,Marcelo Alves de Paula Lima,100
T,15:30,17:10,CH,HUM/SDP 300/353,Public Intellectuals,1177,S1,E-012,Muhammad Haris,100
Th,15:30,17:10,CH,HUM/SDP 300/353,Public Intellectuals,1177,S1,E-012,Muhammad Haris,100
F,17:15,18:30,CH,LIT 207,What is Gender?,1180,S1,C-015,Haniya Habib,75
W,17:15,18:30,CH,LIT 207,What is Gender?,1180,S1,C-015,Haniya Habib,75
M,17:15,18:30,CH,LIT 225,Literary Theory and Criticism,1181,S1,E-011,Nahrain Al-Mousawi,75
W,17:15,18:30,CH,LIT 225,Literary Theory and Criticism,1181,S1,E-011,Nahrain Al-Mousawi,75
T,11:30,12:45,CH,LIT 315,Reading the Partition,1182,S1,FF-E220,Inam Ullah,75
Th,11:30,12:45,CH,LIT 315,Reading the Partition,1182,S1,FF-E220,Inam Ullah,75
T,8:30,9:45,CH,LIT 332,The World of Quratul Ain Hyder,1183,S1,W-321,Syed Afzal Ahmed,75
Th,8:30,9:45,CH,LIT 332,The World of Quratul Ain Hyder,1183,S1,W-321,Syed Afzal Ahmed,75
M,17:15,18:30,ISCIM,MATH 101,Calculus I,1217,L1,E-003,Sara Ashraf,75
T,17:30,18:20,ISCIM,MATH 101,Calculus I,1217,L1,FF-N219,Sara Ashraf,50
Th,17:15,18:30,ISCIM,MATH 101,Calculus I,1217,L1,FF-N219,Sara Ashraf,75
T,15:30,16:45,ISCIM,MATH 102,Calculus II,1218,L1,C-015,Yousuf Kerai,75
Th,15:30,16:45,ISCIM,MATH 102,Calculus II,1218,L1,C-015,Yousuf Kerai,75
F,14:30,15:45,ISCIM,MATH 102,Calculus II,1219,L2,E-012,Yousuf Kerai,75
W,14:30,15:45,ISCIM,MATH 102,Calculus II,1219,L2,E-012,Yousuf Kerai,75
T,8:30,9:45,ISCIM,MATH 102,Calculus II,1220,L3,FF-C200,Aatyka Fatima,75
Th,8:30,9:45,ISCIM,MATH 102,Calculus II,1220,L3,FF-C200,Aatyka Fatima,75
T,10:00,11:15,ISCIM,MATH 102,Calculus II,1221,L4,E-011,Aatyka Fatima,75
Th,10:00,11:15,ISCIM,MATH 102,Calculus II,1221,L4,E-011,Aatyka Fatima,75
M,10:00,11:15,ISCIM,MATH 102,Calculus II,1222,L5,E-012,Sajal Rana,75
W,10:00,11:15,ISCIM,MATH 102,Calculus II,1222,L5,E-012,Sajal Rana,75
T,17:15,18:30,ISCIM,MATH 102,Calculus II,1223,L6,E-100,Muhammad Sami Siddiqui,75
Th,17:15,18:30,ISCIM,MATH 102,Calculus II,1223,L6,E-100,Muhammad Sami Siddiqui,75
F,8:30,9:45,ISCIM,MATH 102,Calculus II,1224,L7,FF-W242,Aatyka Fatima,75
W,8:30,9:45,ISCIM,MATH 102,Calculus II,1224,L7,FF-W242,Aatyka Fatima,75
M,15:50,17:05,ISCIM,MATH 205,Linear Algebra,1225,L1,FF-E220,Sajal Rana,75
Th,15:50,17:05,ISCIM,MATH 205,Linear Algebra,1225,L1,FF-E220,Sajal Rana,75
T,8:30,9:45,ISCIM,MATH 205,Linear Algebra,1226,L2,FF-E220,Aeyaz Jamil Kayani,75
Th,8:30,9:45,ISCIM,MATH 205,Linear Algebra,1226,L2,FF-E220,Aeyaz Jamil Kayani,75
M,8:30,9:45,ISCIM,MATH 305,Complex Analysis,1227,L1,E-010,Sajal Rana,75
Th,13:15,14:30,ISCIM,MATH 305,Complex Analysis,1227,L1,CPE HALL,Sajal Rana,75
T,13:15,14:30,ISCIM,MATH/MUS 106/226,Music and Mathematics,1228,L1,FF-W243,Yousuf Kerai,75
Th,13:15,14:30,ISCIM,MATH/MUS 106/226,Music and Mathematics,1228,L1,FF-W243,Yousuf Kerai,75
F,17:15,18:30,ECE,ME 432,Introduction to Nanotechnology,1229,L1,FF-N219,Ahmad Usman,75
W,17:15,18:30,ECE,ME 432,Introduction to Nanotechnology,1229,L1,FF-N219,Ahmad Usman,75
F,17:15,18:30,ECE,MGMT 301,Tech. Mgmnt & Entrepreneurship,1230,L1,E-012,Abid Butt,75
W,17:15,18:30,ECE,MGMT 301,Tech. Mgmnt & Entrepreneurship,1230,L1,E-012,Abid Butt,75
M,17:15,18:30,ECE,MGMT 320,Principles of Management,1231,L1,FF-E220,Muhammad Wamiq,75
W,17:15,18:30,ECE,MGMT 320,Principles of Management,1231,L1,FF-E220,Muhammad Wamiq,75
M,15:50,17:05,ECE,MGMT 321,Engineering Project Management,1232,L1,W-234,Muhammad Wamiq,75
W,15:50,17:05,ECE,MGMT 321,Engineering Project Management,1232,L1,W-234,Muhammad Wamiq,75
T,17:15,18:30,ECE,MGMT 322,Operations Management,1233,L1,FF-W242,Muhammad Wamiq,75
Th,17:15,18:30,ECE,MGMT 322,Operations Management,1233,L1,FF-W242,Muhammad Wamiq,75
T,10:40,12:20,CH,MUS 225,Ghazal Gayeki,1234,J1,FF-W243,Shahid Hamid,100
Th,10:40,12:20,CH,MUS 225,Ghazal Gayeki,1234,J1,FF-W243,Shahid Hamid,100
T,17:15,18:30,CH,MUS/HIS 221/253,History of SA music,1235,L1,FF-N220,Daniyal Ahmed,75
Th,17:15,18:30,CH,MUS/HIS 221/253,History of SA music,1235,L1,FF-N220,Daniyal Ahmed,75
M,17:15,18:30,CH,PHIL 122,Introduction to Western Philos,1236,S1,FF-W242,Irfan Muhammad,75
W,17:15,18:30,CH,PHIL 122,Introduction to Western Philos,1236,S1,FF-W242,Irfan Muhammad,75
M,11:30,12:45,CH,PHIL 326,Philosophical Hermeneutics,1238,L1,FF-N219,Irfan Muhammad,75
W,11:30,12:45,CH,PHIL 326,Philosophical Hermeneutics,1238,L1,FF-N219,Irfan Muhammad,75
M,14:25,15:40,CH,PHIL/CS 223/223,Ethics of AI,1237,L1,FF-N219,Aeyaz Jamil Kayani,75
W,14:25,15:40,CH,PHIL/CS 223/223,Ethics of AI,1237,L1,FF-N219,Aeyaz Jamil Kayani,75
F,10:00,11:15,CH,PHIL/SDP 222,What is Power?,1239,S1,FF-N220,Najeeb Jan,75
W,10:00,11:15,CH,PHIL/SDP 222,What is Power?,1239,S1,FF-E220,Najeeb Jan,75
T,17:15,18:30,CH,PHIL/SDP 222,What is Power?,1240,S2,E-011,Najeeb Jan,75
Th,17:15,18:30,CH,PHIL/SDP 222,What is Power?,1240,S2,E-011,Najeeb Jan,75
F,14:30,15:45,ISCIM,PHY 101,Mechanics & Thermodynamics,1241,L1,GF-E101,Syed Muntazir Mehdi Abidi,75
W,14:30,15:45,ISCIM,PHY 101,Mechanics & Thermodynamics,1241,L1,GF-E101,Syed Muntazir Mehdi Abidi,75
T,8:30,9:45,ISCIM,PHY 202,Quantum Mechanics,1242,L1,FF-N219,Syed Muntazir Mehdi Abidi,75
Th,8:30,9:45,ISCIM,PHY 202,Quantum Mechanics,1242,L1,FF-N219,Syed Muntazir Mehdi Abidi,75
F,10:00,13:20,PG,PLAY 113,Design Your Habib Experience,1245,D2,PG-1,Sameena Shahzaman,200
F,10:00,13:20,PG,PLAY 113,Design Your Habib Experience,1246,D3,PG-1,Neelma Bhatti,200
F,10:00,13:20,PG,PLAY 113,Design Your Habib Experience,1247,D4,PG-1,Sana Rizwan,200
M,14:30,17:50,PG,PLAY 113,Design Your Habib Experience,1249,D6,PG-1,Abdul Basit Memon,200
M,14:30,17:50,PG,PLAY 113,Design Your Habib Experience,1250,D7,PG-1,Anzar Khaliq,200
T,10:00,11:15,SDP,POLI 102,Introduction to Political Sci,1193,S1,FF-E220,Ana Tawfiq Hussain,75
Th,10:00,11:15,SDP,POLI 102,Introduction to Political Sci,1193,S1,FF-E220,Ana Tawfiq Hussain,75
M,13:00,14:15,SDP,POLI 300,Petrocultures,1194,L1,W-234,Tajreen Jafri,75
T,13:00,14:15,SDP,POLI 300,Petrocultures,1194,L1,W-234,Tajreen Jafri,75
F,8:30,9:45,SDP,POLI 304,Politics of Conflict,1195,S1,E-100,Ana Tawfiq Hussain,75
W,8:30,9:45,SDP,POLI 304,Politics of Conflict,1195,S1,E-100,Ana Tawfiq Hussain,75
F,10:30,13:00,CH,REL 322,Many faces of the Sufi tradi,1196,S1,GF-C109,Muzammil Patel,150
T,10:00,11:15,CH,REL/ANT 201,Rumi,1197,S1,GF-C109,Noman Baig,75
Th,10:00,11:15,CH,REL/ANT 201,Rumi,1197,S1,GF-C109,Noman Baig,75
M,12:30,13:20,SDP,SDP 103,Social Theory I,1198,L1,GF-E121,Ana Tawfiq Hussain,50
T,11:30,12:45,SDP,SDP 103,Social Theory I,1199,S1,GF-E101,Coline Ferrant,75
Th,11:30,12:45,SDP,SDP 103,Social Theory I,1199,S1,GF-E101,Coline Ferrant,75
F,14:30,15:45,SDP,SDP 103,Social Theory I,1200,S2,GF-C109,Ana Tawfiq Hussain,75
W,14:30,15:45,SDP,SDP 103,Social Theory I,1200,S2,GF-C109,Ana Tawfiq Hussain,75
F,11:30,13:10,SDP,SDP 201,Qualitative Research Methods,1308,L1,W-321,Aaron Mulvany,100
W,11:30,13:10,SDP,SDP 201,Qualitative Research Methods,1308,L1,W-321,Aaron Mulvany,100
F,11:30,13:10,SDP,SDP 202B,Quantitative Research Methods,1202,L1,GF-E121,Zaineb Aftab Hussain Makati,100
W,11:30,13:10,SDP,SDP 202B,Quantitative Research Methods,1202,L1,GF-E121,Zaineb Aftab Hussain Makati,100
T,12:50,14:30,SDP,SDP 202B,Quantitative Research Methods,1203,L2,GF-C109,Zaineb Aftab Hussain Makati,100
Th,12:50,14:30,SDP,SDP 202B,Quantitative Research Methods,1203,L2,GF-C109,Zaineb Aftab Hussain Makati,100
M,14:30,15:20,SDP,SDP 206,Social Theory II,1204,L1,GF-E121,Noman Baig,50
F,15:50,17:05,SDP,SDP 206,Social Theory II,1205,S1,W-321,Mahso Gichki,75
W,15:50,17:05,SDP,SDP 206,Social Theory II,1205,S1,W-321,Mahso Gichki,75
F,14:30,15:45,SDP,SDP 206,Social Theory II,1206,S2,FF-W243,Noman Baig,75
W,14:30,15:45,SDP,SDP 206,Social Theory II,1206,S2,FF-W243,Noman Baig,75
M,16:00,18:30,SDP,SDP 215,Urban Design and Public Space,1207,S1,GF-C109,Sana Rizwan,150
T,11:30,13:10,SDP,SDP 302,Data Analytics,1208,S1,W-321,Sahaab Bader Sheikh,100
Th,11:30,13:10,SDP,SDP 302,Data Analytics,1208,S1,W-321,Sahaab Bader Sheikh,100
M,9:50,11:30,SDP,SDP 302,Data Analytics,1209,S2,W-321,Sahaab Bader Sheikh,100
W,9:50,11:30,SDP,SDP 302,Data Analytics,1209,S2,W-321,Sahaab Bader Sheikh,100
T,9:50,11:30,SDP,SDP 302,Data Analytics,1210,S3,FF-N220,Mohammad Moeini Feizabadi,100
Th,9:50,11:30,SDP,SDP 302,Data Analytics,1210,S3,FF-N220,Mohammad Moeini Feizabadi,100
M,14:40,16:20,SDP,SDP 303,Public Policy II,1212,L1,E-215,Tajreen Jafri,100
F,9:50,11:30,SDP,SDP 303,Public Policy II,1213,S1,W-321,Farhan Anwar,100
W,9:50,11:30,SDP,SDP 303,Public Policy II,1214,S2,GF-E101,Tajreen Jafri,100
F,11:50,13:30,SDP,SDP 303,Public Policy II,1215,S3,FF-N219,Muhammad Aatir Khan,100
M,8:30,11:00,SDP,SDP/CND 223/255,Intro to QGIS with GIS,1251,L1,FF-W243,Zaineb Aftab Hussain Makati,150
M,13:00,14:15,SDP,SOC 322,Gender and Human Rights,1216,S1,GF-E101,Mahso Gichki,75
W,13:00,14:15,SDP,SOC 322,Gender and Human Rights,1216,S1,GF-E101,Mahso Gichki,75
F,17:15,18:30,SDP,SOC 422,SRS: Karachi,1252,S1,FF-W243,Coline Ferrant,75
W,17:15,18:30,SDP,SOC 422,SRS: Karachi,1252,S1,FF-W243,Coline Ferrant,75
